"PERMITNO"|"FCLTUIN"|"FCLNAME"|"FCLTYAD"|"FCLTCIT"|"FCLTCTC"|"FCLSTCD"|"FCLZIPC"|"FCLGLAT"|"FCLGLON"|"IMPCAT"
"TX0097519"|"110039171632"|"UNKNOWN"|"UNKNOWN"|""|"1383847"|"TX"|""|""|""|""
"TX0097527"|"110010921994"|"HARTWICK GREEN MHP"|"1600' NW INTX ALDINE WESTFIELD RD"|"HOUSTON"|"1380948"|"TX"|"77093"|29.884722|-95.356667|""
"TX0097675"|"110025310731"|"LAKE TAWAKONI PRESERVE WWTP"|"1MI W OF FM 47 AND 1.15MI S OF FM 35"|"FRISCO"|"1383975"|"TX"|"75472"|32.878083|-95.907528|""
"TX0097683"|"110039198515"|"COLORADO RIVER RESERVE"|"1 1/4 MILES SW OF FMR 1890"|"DALLAS"|"1333141"|"TX"|"75234"|29.724722|-96.6025|""
"TX0097691"|"110009775305"|"MHC TT LAKE WHITNEY PRESERVE"|"417 THOUSAND TRAILS DR"|"WHITNEY"|"1383894"|"TX"|"76692"|32.004472|-97.351139|""
"TX0097705"|"110009775314"|"TWINWOOD (U.S.), INC."|"BTWN GUYLER RD & BRUNDRETT RD"|"HOUSTON"|"1383864"|"TX"|"77057"|29.655|-95.988611|""
"TX0097853"|"110009692733"|"EAGLE MOUNTAIN RV PARK WWTP"|"1.7MI NW INTX FM 1220 AND E PEDEN RD"|"FORT WORTH"|"1380947"|"TX"|"76180"|32.948889|-97.503333|""
"TX0097861"|"110039168352"|"UNKNOWN"|"UNKNOWN"|""|"1384151"|"TX"|""|""|""|""
"TX0097870"|"110009747471"|"DESSAU WWTF"|"1.4M N DESSAU RD AND YAGER LANE"|"AUSTIN"|"1384879"|"TX"|"78746"|30.395278|-97.666944|""
"TX0097896"|"110039168389"|"UNKNOWN"|"UNKNOWN"|""|"1347589"|"TX"|""|""|""|""
"TX0097900"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1380948"|"TX"|""|29.867222|-95.318611|""
"TX0097918"|"110039168557"|"TEXAS INDUSTRIES INC."|"7535 HARLEM RD"|"CLODINE"|"1383864"|"TX"|"77469"|29.695833|-95.715|""
"TX0097934"|"110039168584"|"UNKNOWN"|"UNKNOWN"|""|"1348998"|"TX"|""|""|""|""
"TX0097951"|"110039168619"|"UNKNOWN"|"UNKNOWN"|""|"1354786"|"TX"|""|""|""|""
"TX0097969"|"110010922001"|"CLOVER CREEK MUD  WWTP"|"2M S MAGNOLIA TX ON NICHOLS-SAW MILL RD"|"MAGNOLIA"|"1383955"|"TX"|"77041"|30.168056|-95.750278|""
"TX0097977"|"110010131179"|"JOHNSON MHP WWTF"|"2MI E INT OF IH 20 ANDST HWY 281"|"LONGVIEW"|"1383887"|"TX"|"75605"|32.466944|-94.634167|""
"TX0097985"|"110009775323"|"PARK 6 WEST WWTF"|"5930 STATE HWY 6"|"HOUSTON"|"1380948"|"TX"|"77007"|29.864722|-95.644167|""
"TX0098124"|"110039168637"|"UNKNOWN"|"UNKNOWN"|""|"1340088"|"TX"|""|""|""|""
"TX0098132"|"110006683749"|"BEACON ESTATES WSC WWTP"|"800' E FM 359 APPX 3 MI N INTX"|"BROOKSHIRE"|"1331324"|"TX"|"77423"|29.866111|-95.997778|""
"TX0098167"|"110039198533"|"KNOX FUEL STOP"|"SOUTH HIGHWAY 35"|"HILLSBORO"|"1380944"|"TX"|"76645"|31.954167|-97.1|""
"TX0098191"|"110005169600"|"KEEGANS BAYOU WWTP"|"SE SIDE US HWY 59 S AND 0.5MI S"|"HOUSTON"|"1380948"|"TX"|"77087"|29.666111|-95.546111|"4"
"TX0098205"|"110009775341"|"MIDFIELD WWTP"|"1200' SW INTX STHWY 71 & STHWY"|"MIDFIELD"|"1383943"|"TX"|"77458"|28.933889|-96.205|""
